template,dataset,status,normalized,data_modality,task_type,problem_type,z_score
424f8db6e24a.json,uu9_posts_2_MIN_METADATA,SCORED,0.996569740186236,multi_table,regression,multi_table/regression,0.16478643872334015
ea31f4a1f88a.json,uu9_posts_2_MIN_METADATA,SCORED,0.996569740186236,multi_table,regression,multi_table/regression,0.16478643872334015
b5d0d5c2df8d.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965622347059104,multi_table,regression,multi_table/regression,0.16473979668210081
138d9408e3c3.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965599298342968,multi_table,regression,multi_table/regression,0.16472547329276485
2a895007a922.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965599298342968,multi_table,regression,multi_table/regression,0.16472547329276485
f2ff1a7f8523.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965599298342968,multi_table,regression,multi_table/regression,0.16472547329276485
a62a428226f3.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965599298342968,multi_table,regression,multi_table/regression,0.16472547329276485
390508c29731.json,uu9_posts_2_MIN_METADATA,SCORED,0.9965599298342968,multi_table,regression,multi_table/regression,0.16472547329276485
7739a93e6657.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
b363a604e30e.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
4297e7810c21.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
0f8bb4d0e41a.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
4f5ba973ac31.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
20a2f15eb88d.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
6dfd80a7a084.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
86405402cfb7.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
7f532f1480d2.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
4b3142146f1b.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
00ca0172a464.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
caee3e1b8ac0.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
2f3ffb9f3129.json,uu9_posts_2_MIN_METADATA,SCORED,0.996558378131112,multi_table,regression,multi_table/regression,0.16471583039173876
